temporada,titulo
1,"Me cortaron mal el pelo"
1,"Tangananica-Tanganana"
1,"Lala"
1,"Diente blanco, no te vayas"
1,"Bailan sin cesar"
1,"Mi muñeca me habló"
1,"Señora, devuélvame la pelota o si no no sé lo que haré"
1,"Yo opino"
1,"Mi Equilibrio Espiritual"
2,"El Dinosaurio Anacleto"
2,"Rin Raja"
2,"Severlá"
2,"Boing, Boing, Boing"
2,"Sra. Interesante"
2,"Objeción Denegada"
2,"Nunca me he Sacado un 7"
2,"Doggy Style"
2,"Papá, te Quiero"
3,"Mi castillo de blanca arena con vista al mar"
3,"Ríe"
3,"Guácala"
3,"La Regla Primordial"
3,"Parque de diversiones"
3,"Mr. Guantecillo"
3,"Ratoncitos"
4,"El huerfadrino"
4,"Drácula, Calígula, Tarántula"
4,"Mi mamá me lo teje todo"
4,"Son pololos"
4,"Mundo Interior"
4,"Amurrao"
4,"Arwrarwrirwrarwro"